,algorithm,seed,feature,information_gain
68,tsfresh_base,98,StateHoliday_c__autocorrelation__lag_5,150599.96923999998
69,tsfresh_base,98,"DayOfWeek_3__agg_autocorrelation__f_agg_""var""__maxlag_40",296270.36718888883
70,tsfresh_base,98,Promo__autocorrelation__lag_1,367567.3539769231
71,tsfresh_base,98,DayOfWeek_7__autocorrelation__lag_1,698514.125
72,tsfresh_base,98,"DayOfWeek_7__agg_autocorrelation__f_agg_""median""__maxlag_40",368114.078
73,tsfresh_base,98,StateHoliday_0__autocorrelation__lag_4,27233.3438
74,tsfresh_base,98,DayOfWeek_7__autocorrelation__lag_3,331701.7655
75,tsfresh_base,98,DayOfWeek_6,135544.04166666666
76,tsfresh_base,98,"DayOfWeek_1__agg_autocorrelation__f_agg_""mean""__maxlag_40",504276.562
77,tsfresh_base,98,"DayOfWeek_2__agg_autocorrelation__f_agg_""median""__maxlag_40",328837.469
78,tsfresh_base,98,"DayOfWeek_5__agg_autocorrelation__f_agg_""var""__maxlag_40",40205.125
79,tsfresh_base,98,StateHoliday_c__autocorrelation__lag_6,73449.4688
80,tsfresh_base,98,"DayOfWeek_6__agg_autocorrelation__f_agg_""median""__maxlag_40",117606.672
81,tsfresh_base,98,DayOfWeek_1__autocorrelation__lag_9,350640.875
82,tsfresh_base,98,"DayOfWeek_4__agg_autocorrelation__f_agg_""median""__maxlag_40",117957.398
83,tsfresh_base,98,DayOfWeek_6__autocorrelation__lag_8,269053.094
84,tsfresh_base,98,DayOfWeek_6__autocorrelation__lag_2,49604.4453
0,tsfresh_base,2647,Open,328582643.9487778
1,tsfresh_base,2647,"Promo__agg_autocorrelation__f_agg_""median""__maxlag_40",7787544.967511764
2,tsfresh_base,2647,target_lagged_by_1,2847417.5334558585
3,tsfresh_base,2647,"StateHoliday_0__agg_autocorrelation__f_agg_""var""__maxlag_40",1000643.6978675294
4,tsfresh_base,2647,Promo,21844771.674908996
5,tsfresh_base,2647,DayOfWeek_7__autocorrelation__lag_2,21503914.8
6,tsfresh_base,2647,month,3315702.329924378
7,tsfresh_base,2647,"DayOfWeek_3__agg_autocorrelation__f_agg_""median""__maxlag_40",5080761.498200001
8,tsfresh_base,2647,DayOfWeek_7__autocorrelation__lag_9,10986348.229333334
9,tsfresh_base,2647,target_lagged_by_1__mean_change,736342.4287285537
10,tsfresh_base,2647,Promo__mean_change,916625.8975076922
11,tsfresh_base,2647,"DayOfWeek_2__agg_autocorrelation__f_agg_""var""__maxlag_40",557551.8056777776
12,tsfresh_base,2647,"DayOfWeek_4__agg_autocorrelation__f_agg_""mean""__maxlag_40",3731390.1137202205
13,tsfresh_base,2647,Open__autocorrelation__lag_9,846729.7415847676
14,tsfresh_base,2647,target_lagged_by_1__autocorrelation__lag_8,413510.5774065126
15,tsfresh_base,2647,Open__mean_change,168829151.47643
16,tsfresh_base,2647,Promo__autocorrelation__lag_4,2565953.2176442156
17,tsfresh_base,2647,target_lagged_by_1__autocorrelation__lag_6,675228.0665278865
18,tsfresh_base,2647,"target_lagged_by_1__agg_autocorrelation__f_agg_""var""__maxlag_40",549689.5765682927
19,tsfresh_base,2647,"Open__agg_autocorrelation__f_agg_""mean""__maxlag_40",582653.8397995328
20,tsfresh_base,2647,"Open__agg_autocorrelation__f_agg_""var""__maxlag_40",356540.5831687806
21,tsfresh_base,2647,"DayOfWeek_7__agg_autocorrelation__f_agg_""mean""__maxlag_40",1611038.82007
22,tsfresh_base,2647,Promo__autocorrelation__lag_9,5236416.05830953
23,tsfresh_base,2647,"target_lagged_by_1__agg_autocorrelation__f_agg_""mean""__maxlag_40",616177.9913858674
24,tsfresh_base,2647,SchoolHoliday,616555.4836656252
25,tsfresh_base,2647,"StateHoliday_0__agg_autocorrelation__f_agg_""mean""__maxlag_40",114857.00171978875
26,tsfresh_base,2647,year,760978.5785981343
27,tsfresh_base,2647,Promo__autocorrelation__lag_2,987699.2680526315
28,tsfresh_base,2647,target_lagged_by_1__autocorrelation__lag_1,496009.7057881204
29,tsfresh_base,2647,DayOfWeek_4__autocorrelation__lag_4,289837056.0
30,tsfresh_base,2647,StateHoliday_0,66407040.0
31,tsfresh_base,2647,"Promo__agg_autocorrelation__f_agg_""var""__maxlag_40",185333.1198458064
32,tsfresh_base,2647,"target_lagged_by_1__agg_autocorrelation__f_agg_""median""__maxlag_40",331982.6614034501
33,tsfresh_base,2647,Open__autocorrelation__lag_6,404987.4733205345
34,tsfresh_base,2647,year__autocorrelation__lag_5,1648256.0
35,tsfresh_base,2647,Promo__autocorrelation__lag_3,874342.4070602249
36,tsfresh_base,2647,DayOfWeek_6,3052460.375
37,tsfresh_base,2647,DayOfWeek_4,1015254.2630000002
38,tsfresh_base,2647,Open__autocorrelation__lag_1,450385.30984196
39,tsfresh_base,2647,Open__autocorrelation__lag_8,410582.77497697796
40,tsfresh_base,2647,Open__standard_deviation,1701.9619764499998
41,tsfresh_base,2647,"DayOfWeek_1__agg_autocorrelation__f_agg_""var""__maxlag_40",813576.6550441176
42,tsfresh_base,2647,StateHoliday_b__mean,5022.030002222224
43,tsfresh_base,2647,"StateHoliday_0__agg_autocorrelation__f_agg_""median""__maxlag_40",30310.60257611375
44,tsfresh_base,2647,StateHoliday_0__autocorrelation__lag_4,83775.685867025
45,tsfresh_base,2647,"StateHoliday_b__agg_autocorrelation__f_agg_""var""__maxlag_40",3.48599887
46,tsfresh_base,2647,Open__autocorrelation__lag_5,328907.55509539903
47,tsfresh_base,2647,Open__mean,28237.715131888333
48,tsfresh_base,2647,"DayOfWeek_2__agg_autocorrelation__f_agg_""median""__maxlag_40",177296.791775447
49,tsfresh_base,2647,"DayOfWeek_6__agg_autocorrelation__f_agg_""var""__maxlag_40",263146.0790941177
50,tsfresh_base,2647,"Promo__agg_autocorrelation__f_agg_""mean""__maxlag_40",516003.46845530724
51,tsfresh_base,2647,"DayOfWeek_1__agg_autocorrelation__f_agg_""mean""__maxlag_40",361161.7031428571
52,tsfresh_base,2647,"DayOfWeek_7__agg_autocorrelation__f_agg_""median""__maxlag_40",463948.0
53,tsfresh_base,2647,DayOfWeek_1__autocorrelation__lag_6,3042375.0
54,tsfresh_base,2647,Promo__median,555033.8436666667
55,tsfresh_base,2647,"DayOfWeek_4__agg_autocorrelation__f_agg_""median""__maxlag_40",190337.79505285734
56,tsfresh_base,2647,"DayOfWeek_7__agg_autocorrelation__f_agg_""var""__maxlag_40",206991.95717777777
57,tsfresh_base,2647,StateHoliday_c__mean,138278.442972025
58,tsfresh_base,2647,StateHoliday_c__autocorrelation__lag_8,851430.3413846153
59,tsfresh_base,2647,Open__autocorrelation__lag_3,516109.23014545464
60,tsfresh_base,2647,"DayOfWeek_5__agg_autocorrelation__f_agg_""mean""__maxlag_40",213520.8255764706
61,tsfresh_base,2647,DayOfWeek_6__autocorrelation__lag_3,407248.557
62,tsfresh_base,2647,DayOfWeek_5__autocorrelation__lag_2,137340.51325999998
63,tsfresh_base,2647,StateHoliday_a__autocorrelation__lag_2,6141.84668
64,tsfresh_base,2647,DayOfWeek_1__autocorrelation__lag_2,608752.2710000001
65,tsfresh_base,2647,"DayOfWeek_3__agg_autocorrelation__f_agg_""var""__maxlag_40",185833.30926666665
66,tsfresh_base,2647,DayOfWeek_6__autocorrelation__lag_1,162474.83814285716
67,tsfresh_base,2647,DayOfWeek_4__autocorrelation__lag_1,219707.5235
68,tsfresh_base,2647,"DayOfWeek_4__agg_autocorrelation__f_agg_""var""__maxlag_40",168296.989875
69,tsfresh_base,2647,DayOfWeek_4__autocorrelation__lag_3,64044.8281
70,tsfresh_base,2647,DayOfWeek_3__autocorrelation__lag_2,46422.449199999995
71,tsfresh_base,2647,StateHoliday_c__autocorrelation__lag_5,90957.98975999998
72,tsfresh_base,2647,Promo__autocorrelation__lag_1,226325.63917142854
73,tsfresh_base,2647,StateHoliday_0__autocorrelation__lag_5,256944.04679999998
74,tsfresh_base,2647,StateHoliday_a__autocorrelation__lag_4,180771.875
75,tsfresh_base,2647,DayOfWeek_5__autocorrelation__lag_5,370864.719
76,tsfresh_base,2647,DayOfWeek_6__autocorrelation__lag_2,182134.2308
77,tsfresh_base,2647,"DayOfWeek_3__agg_autocorrelation__f_agg_""mean""__maxlag_40",137679.8056375
78,tsfresh_base,2647,"StateHoliday_c__agg_autocorrelation__f_agg_""var""__maxlag_40",40467.56361428571
79,tsfresh_base,2647,DayOfWeek_7__autocorrelation__lag_1,117131.203
80,tsfresh_base,2647,Open__autocorrelation__lag_7,319652.8985
81,tsfresh_base,2647,"DayOfWeek_1__agg_autocorrelation__f_agg_""median""__maxlag_40",259892.92953333328
82,tsfresh_base,2647,"StateHoliday_b__agg_autocorrelation__f_agg_""mean""__maxlag_40",164229.117
83,tsfresh_base,2647,"DayOfWeek_5__agg_autocorrelation__f_agg_""var""__maxlag_40",207117.9168
84,tsfresh_base,2647,"year__agg_autocorrelation__f_agg_""mean""__maxlag_40",68894.87759999999
85,tsfresh_base,2647,DayOfWeek_2__autocorrelation__lag_2,255838.984
86,tsfresh_base,2647,DayOfWeek_2__autocorrelation__lag_4,286826.156
87,tsfresh_base,2647,"DayOfWeek_6__agg_autocorrelation__f_agg_""median""__maxlag_40",92980.9219
88,tsfresh_base,2647,DayOfWeek_6__autocorrelation__lag_8,65352.88280000001
0,tsfresh_base,12,Open,324429190.8450704
1,tsfresh_base,12,"Promo__agg_autocorrelation__f_agg_""median""__maxlag_40",10045615.94004641
2,tsfresh_base,12,month,4429788.300968725
3,tsfresh_base,12,"target_lagged_by_1__agg_autocorrelation__f_agg_""var""__maxlag_40",974492.8023110107
4,tsfresh_base,12,target_lagged_by_1__mean_change,1225770.2944544682
5,tsfresh_base,12,Promo__autocorrelation__lag_4,5765636.1839
6,tsfresh_base,12,target_lagged_by_1,3691049.0460752477
7,tsfresh_base,12,"target_lagged_by_1__agg_autocorrelation__f_agg_""mean""__maxlag_40",856093.6305679232
8,tsfresh_base,12,"Open__agg_autocorrelation__f_agg_""mean""__maxlag_40",629810.7801856668
9,tsfresh_base,12,Promo,25649342.118384615
10,tsfresh_base,12,DayOfWeek_7__autocorrelation__lag_2,17512014.285714287
11,tsfresh_base,12,"DayOfWeek_3__agg_autocorrelation__f_agg_""mean""__maxlag_40",13012147.46095
12,tsfresh_base,12,target_lagged_by_1__autocorrelation__lag_8,547510.0516316342
13,tsfresh_base,12,"Open__agg_autocorrelation__f_agg_""var""__maxlag_40",1569193.3316850802
14,tsfresh_base,12,Open__mean_change,122119681.60264222
15,tsfresh_base,12,"DayOfWeek_3__agg_autocorrelation__f_agg_""median""__maxlag_40",4887927.05475
16,tsfresh_base,12,DayOfWeek_4__autocorrelation__lag_4,429835776.0
17,tsfresh_base,12,StateHoliday_0,98252688.0
18,tsfresh_base,12,"StateHoliday_0__agg_autocorrelation__f_agg_""var""__maxlag_40",1360748.31764543
19,tsfresh_base,12,DayOfWeek_7__autocorrelation__lag_9,9528962.375
20,tsfresh_base,12,Open__autocorrelation__lag_9,1151013.75899043
21,tsfresh_base,12,Promo__autocorrelation__lag_3,932479.8182315168
22,tsfresh_base,12,Promo__mean_change,962949.5370000001
23,tsfresh_base,12,target_lagged_by_1__autocorrelation__lag_6,837978.8015914062
24,tsfresh_base,12,Promo__autocorrelation__lag_9,4630999.060907501
25,tsfresh_base,12,target_lagged_by_1__autocorrelation__lag_1,592035.4951627624
26,tsfresh_base,12,"target_lagged_by_1__agg_autocorrelation__f_agg_""median""__maxlag_40",335679.93871294125
27,tsfresh_base,12,Open__autocorrelation__lag_7,0.8875175299999999
28,tsfresh_base,12,year,1271189.1418975
29,tsfresh_base,12,Open__autocorrelation__lag_1,502060.9472227273
30,tsfresh_base,12,Promo__autocorrelation__lag_2,1084935.7491578949
31,tsfresh_base,12,Open__mean,16344.124727304374
32,tsfresh_base,12,StateHoliday_b__mean,1608.6782893765385
33,tsfresh_base,12,DayOfWeek_3__autocorrelation__lag_2,3691296.0
34,tsfresh_base,12,"DayOfWeek_4__agg_autocorrelation__f_agg_""mean""__maxlag_40",509652.2314071667
35,tsfresh_base,12,Open__autocorrelation__lag_8,368874.3814554143
36,tsfresh_base,12,Open__variance,10.8265762
37,tsfresh_base,12,Open__autocorrelation__lag_6,379928.90576964687
38,tsfresh_base,12,"DayOfWeek_2__agg_autocorrelation__f_agg_""var""__maxlag_40",1178367.547
39,tsfresh_base,12,"StateHoliday_0__agg_autocorrelation__f_agg_""mean""__maxlag_40",62053.17211670238
40,tsfresh_base,12,"StateHoliday_0__agg_autocorrelation__f_agg_""median""__maxlag_40",15003.047108155555
41,tsfresh_base,12,"DayOfWeek_5__agg_autocorrelation__f_agg_""mean""__maxlag_40",90695.79837446
42,tsfresh_base,12,DayOfWeek_4,2024400.0
43,tsfresh_base,12,"DayOfWeek_1__agg_autocorrelation__f_agg_""var""__maxlag_40",1224991.18038817
44,tsfresh_base,12,SchoolHoliday,1015660.4193684212
45,tsfresh_base,12,"StateHoliday_c__agg_autocorrelation__f_agg_""var""__maxlag_40",1993105.1041666667
46,tsfresh_base,12,"Promo__agg_autocorrelation__f_agg_""mean""__maxlag_40",757696.9862518882
47,tsfresh_base,12,"Promo__agg_autocorrelation__f_agg_""var""__maxlag_40",240306.9118697473
48,tsfresh_base,12,Open__standard_deviation,149395.80238369998
49,tsfresh_base,12,DayOfWeek_1__autocorrelation__lag_6,3215408.0
50,tsfresh_base,12,"DayOfWeek_1__agg_autocorrelation__f_agg_""median""__maxlag_40",515694.31533333333
51,tsfresh_base,12,Open__autocorrelation__lag_3,183173.6279712219
52,tsfresh_base,12,Promo__median,1382136.0
53,tsfresh_base,12,DayOfWeek_5__autocorrelation__lag_3,2301670.0
54,tsfresh_base,12,"DayOfWeek_7__agg_autocorrelation__f_agg_""median""__maxlag_40",655388.0
55,tsfresh_base,12,"DayOfWeek_4__agg_autocorrelation__f_agg_""var""__maxlag_40",132817.172487395
56,tsfresh_base,12,StateHoliday_c__autocorrelation__lag_8,906708.5688000001
57,tsfresh_base,12,"DayOfWeek_7__agg_autocorrelation__f_agg_""var""__maxlag_40",209589.82995337446
58,tsfresh_base,12,StateHoliday_c__mean,154074.6106458
59,tsfresh_base,12,StateHoliday_0__autocorrelation__lag_4,49.55713016666667
60,tsfresh_base,12,"StateHoliday_b__agg_autocorrelation__f_agg_""var""__maxlag_40",35.56100526666666
61,tsfresh_base,12,DayOfWeek_1__autocorrelation__lag_5,935654.25
62,tsfresh_base,12,"DayOfWeek_6__agg_autocorrelation__f_agg_""var""__maxlag_40",405991.9845
63,tsfresh_base,12,Open__autocorrelation__lag_5,66839.93052675
64,tsfresh_base,12,DayOfWeek_6__autocorrelation__lag_1,334995.59400000004
65,tsfresh_base,12,"DayOfWeek_1__agg_autocorrelation__f_agg_""mean""__maxlag_40",45822.829399999995
66,tsfresh_base,12,StateHoliday_a__autocorrelation__lag_2,41028.588273333335
67,tsfresh_base,12,DayOfWeek_4__autocorrelation__lag_1,288286.728
68,tsfresh_base,12,DayOfWeek_4__autocorrelation__lag_3,93063.926675
69,tsfresh_base,12,DayOfWeek_5__autocorrelation__lag_2,34334.540025
70,tsfresh_base,12,DayOfWeek_2__autocorrelation__lag_2,102049.88039999998
71,tsfresh_base,12,DayOfWeek_6,382397.45064444444
72,tsfresh_base,12,"DayOfWeek_7__agg_autocorrelation__f_agg_""mean""__maxlag_40",256693.29296666666
73,tsfresh_base,12,Promo__autocorrelation__lag_1,271593.6191366667
74,tsfresh_base,12,DayOfWeek_3__autocorrelation__lag_6,687195.25
75,tsfresh_base,12,StateHoliday_0__autocorrelation__lag_5,213419.1562142857
76,tsfresh_base,12,year__autocorrelation__lag_5,616061.812
77,tsfresh_base,12,DayOfWeek_6__autocorrelation__lag_2,101565.40801111113
78,tsfresh_base,12,DayOfWeek_6__autocorrelation__lag_8,427363.0
79,tsfresh_base,12,DayOfWeek_6__autocorrelation__lag_4,253005.875
80,tsfresh_base,12,"DayOfWeek_5__agg_autocorrelation__f_agg_""var""__maxlag_40",181700.60940000002
81,tsfresh_base,12,DayOfWeek_4__autocorrelation__lag_2,262224.219
82,tsfresh_base,12,"DayOfWeek_3__agg_autocorrelation__f_agg_""var""__maxlag_40",42014.625
83,tsfresh_base,12,"DayOfWeek_2__agg_autocorrelation__f_agg_""median""__maxlag_40",428075.8905
84,tsfresh_base,12,"DayOfWeek_6__agg_autocorrelation__f_agg_""median""__maxlag_40",143057.75
0,tsfresh_base,9,Open,312901449.22887325
1,tsfresh_base,9,Promo,32996925.236842107
2,tsfresh_base,9,DayOfWeek_7__autocorrelation__lag_2,27806368.0
3,tsfresh_base,9,month,3556339.4770720857
4,tsfresh_base,9,target_lagged_by_1,3331226.6295367945
5,tsfresh_base,9,"DayOfWeek_3__agg_autocorrelation__f_agg_""median""__maxlag_40",7024750.475599999
6,tsfresh_base,9,Open__mean_change,290212201.01993334
7,tsfresh_base,9,DayOfWeek_4__autocorrelation__lag_3,11678526.798975
8,tsfresh_base,9,"Open__agg_autocorrelation__f_agg_""mean""__maxlag_40",917093.9313642797
9,tsfresh_base,9,target_lagged_by_1__mean_change,923255.842161229
10,tsfresh_base,9,target_lagged_by_1__autocorrelation__lag_8,459224.77920016856
11,tsfresh_base,9,"Promo__agg_autocorrelation__f_agg_""median""__maxlag_40",13357044.840158472
12,tsfresh_base,9,"StateHoliday_0__agg_autocorrelation__f_agg_""var""__maxlag_40",1284528.3388787794
13,tsfresh_base,9,"DayOfWeek_2__agg_autocorrelation__f_agg_""var""__maxlag_40",926794.6106363639
14,tsfresh_base,9,Promo__autocorrelation__lag_4,1912981.0045416662
15,tsfresh_base,9,Promo__autocorrelation__lag_9,5080682.351248
16,tsfresh_base,9,"target_lagged_by_1__agg_autocorrelation__f_agg_""var""__maxlag_40",636517.8601983248
17,tsfresh_base,9,Promo__mean_change,1142904.1494347823
18,tsfresh_base,9,DayOfWeek_7__autocorrelation__lag_9,10053408.4375
19,tsfresh_base,9,Open__autocorrelation__lag_9,909602.4975
20,tsfresh_base,9,"target_lagged_by_1__agg_autocorrelation__f_agg_""median""__maxlag_40",303793.58477358817
21,tsfresh_base,9,target_lagged_by_1__autocorrelation__lag_1,598646.7961781455
22,tsfresh_base,9,year,1183894.33787375
23,tsfresh_base,9,Promo__autocorrelation__lag_2,1027573.3784444444
24,tsfresh_base,9,Promo__autocorrelation__lag_1,379976.46275000006
25,tsfresh_base,9,Promo__autocorrelation__lag_3,1356508.7871695869
26,tsfresh_base,9,target_lagged_by_1__autocorrelation__lag_6,777595.1496273399
27,tsfresh_base,9,DayOfWeek_4__autocorrelation__lag_4,261675520.0
28,tsfresh_base,9,StateHoliday_0,60577152.0
29,tsfresh_base,9,"DayOfWeek_3__agg_autocorrelation__f_agg_""var""__maxlag_40",580012.385195195
30,tsfresh_base,9,"Open__agg_autocorrelation__f_agg_""var""__maxlag_40",173740.0158478181
31,tsfresh_base,9,Open__mean,50240.499164116656
32,tsfresh_base,9,Open__autocorrelation__lag_6,317972.3826050547
33,tsfresh_base,9,DayOfWeek_3__autocorrelation__lag_2,5585088.0
34,tsfresh_base,9,StateHoliday_b__mean,13220.696165435002
35,tsfresh_base,9,SchoolHoliday,850050.0627413377
36,tsfresh_base,9,"DayOfWeek_4__agg_autocorrelation__f_agg_""var""__maxlag_40",435797.925625
37,tsfresh_base,9,"target_lagged_by_1__agg_autocorrelation__f_agg_""mean""__maxlag_40",663193.0547808068
38,tsfresh_base,9,Open__standard_deviation,45.5589714
39,tsfresh_base,9,"Promo__agg_autocorrelation__f_agg_""mean""__maxlag_40",339216.33780346886
40,tsfresh_base,9,Open__autocorrelation__lag_1,626563.6846818181
41,tsfresh_base,9,"DayOfWeek_5__agg_autocorrelation__f_agg_""mean""__maxlag_40",167407.45250460997
42,tsfresh_base,9,DayOfWeek_5__autocorrelation__lag_3,3431895.2
43,tsfresh_base,9,DayOfWeek_4,1955881.3333333333
44,tsfresh_base,9,StateHoliday_0__mean_change,2135008.0
45,tsfresh_base,9,Open__variance,206.22305649999998
46,tsfresh_base,9,"StateHoliday_c__agg_autocorrelation__f_agg_""var""__maxlag_40",720128.3976374547
47,tsfresh_base,9,Open__autocorrelation__lag_5,385788.92363330716
48,tsfresh_base,9,StateHoliday_a__autocorrelation__lag_2,13.974285605
49,tsfresh_base,9,"Promo__agg_autocorrelation__f_agg_""var""__maxlag_40",225156.90266192312
50,tsfresh_base,9,Open__autocorrelation__lag_8,451964.78136277775
51,tsfresh_base,9,"DayOfWeek_4__agg_autocorrelation__f_agg_""mean""__maxlag_40",257304.45833333334
52,tsfresh_base,9,"DayOfWeek_1__agg_autocorrelation__f_agg_""var""__maxlag_40",958854.4453125
53,tsfresh_base,9,Promo__median,1385604.0
54,tsfresh_base,9,StateHoliday_c__autocorrelation__lag_8,1256242.5625454544
55,tsfresh_base,9,DayOfWeek_1__autocorrelation__lag_6,2039212.0
56,tsfresh_base,9,"StateHoliday_0__agg_autocorrelation__f_agg_""median""__maxlag_40",277.566922414
57,tsfresh_base,9,StateHoliday_0__autocorrelation__lag_5,292400.30162
58,tsfresh_base,9,StateHoliday_b__standard_deviation,14797.624
59,tsfresh_base,9,"DayOfWeek_7__agg_autocorrelation__f_agg_""var""__maxlag_40",157309.72927826087
60,tsfresh_base,9,DayOfWeek_4__autocorrelation__lag_2,1423095.75
61,tsfresh_base,9,year__autocorrelation__lag_5,462693.344
62,tsfresh_base,9,DayOfWeek_6__autocorrelation__lag_3,803020.8123999999
63,tsfresh_base,9,DayOfWeek_6__autocorrelation__lag_1,231287.44283333336
64,tsfresh_base,9,StateHoliday_0__autocorrelation__lag_4,51723.1970386
65,tsfresh_base,9,StateHoliday_a__mean_change,382.68071499999996
66,tsfresh_base,9,StateHoliday_a,407.47969359999996
67,tsfresh_base,9,"StateHoliday_0__agg_autocorrelation__f_agg_""mean""__maxlag_40",239858.376035
68,tsfresh_base,9,Open__autocorrelation__lag_7,541247.3817717499
69,tsfresh_base,9,"DayOfWeek_6__agg_autocorrelation__f_agg_""var""__maxlag_40",321956.863125
70,tsfresh_base,9,"DayOfWeek_1__agg_autocorrelation__f_agg_""median""__maxlag_40",455862.9436
71,tsfresh_base,9,"DayOfWeek_1__agg_autocorrelation__f_agg_""mean""__maxlag_40",691492.46875
72,tsfresh_base,9,DayOfWeek_4__autocorrelation__lag_1,276645.781
73,tsfresh_base,9,Open__autocorrelation__lag_3,366402.84383333335
74,tsfresh_base,9,DayOfWeek_3__autocorrelation__lag_4,771228.5
75,tsfresh_base,9,DayOfWeek_6,718782.5
76,tsfresh_base,9,DayOfWeek_1__autocorrelation__lag_5,236105.234
77,tsfresh_base,9,StateHoliday_c__autocorrelation__lag_5,249124.96999999997
78,tsfresh_base,9,"DayOfWeek_3__agg_autocorrelation__f_agg_""mean""__maxlag_40",369160.9054
79,tsfresh_base,9,DayOfWeek_5__autocorrelation__lag_9,223820.875
80,tsfresh_base,9,"DayOfWeek_2__agg_autocorrelation__f_agg_""median""__maxlag_40",377942.9636666667
81,tsfresh_base,9,DayOfWeek_6__autocorrelation__lag_2,118535.039
82,tsfresh_base,9,DayOfWeek_5__autocorrelation__lag_5,292313.781
83,tsfresh_base,9,StateHoliday_a__autocorrelation__lag_4,148904.281
84,tsfresh_base,9,DayOfWeek_1__autocorrelation__lag_9,368793.781
85,tsfresh_base,9,"year__agg_autocorrelation__f_agg_""mean""__maxlag_40",107723.617
86,tsfresh_base,9,"DayOfWeek_7__agg_autocorrelation__f_agg_""mean""__maxlag_40",221043.875
87,tsfresh_base,9,DayOfWeek_7__autocorrelation__lag_3,267863.891
0,tsfresh_base,455,Open,330141422.3466667
1,tsfresh_base,455,Promo,16674423.13296836
2,tsfresh_base,455,DayOfWeek_7__autocorrelation__lag_2,22970450.285714287
3,tsfresh_base,455,month,2175929.4619294666
4,tsfresh_base,455,"DayOfWeek_2__agg_autocorrelation__f_agg_""var""__maxlag_40",275292.9941549595
5,tsfresh_base,455,"Promo__agg_autocorrelation__f_agg_""median""__maxlag_40",6753857.449247956
6,tsfresh_base,455,target_lagged_by_1,2270981.1656479575
7,tsfresh_base,455,"StateHoliday_0__agg_autocorrelation__f_agg_""var""__maxlag_40",1100255.8538962964
8,tsfresh_base,455,Promo__autocorrelation__lag_4,342479.866568
9,tsfresh_base,455,Promo__mean_change,977027.1305535714
10,tsfresh_base,455,target_lagged_by_1__mean_change,626126.633208842
11,tsfresh_base,455,"DayOfWeek_3__agg_autocorrelation__f_agg_""median""__maxlag_40",2468666.829307692
12,tsfresh_base,455,"DayOfWeek_4__agg_autocorrelation__f_agg_""mean""__maxlag_40",1245096.536345
13,tsfresh_base,455,Open__autocorrelation__lag_9,606362.1465980156
14,tsfresh_base,455,target_lagged_by_1__autocorrelation__lag_8,283530.0789552614
15,tsfresh_base,455,Promo__autocorrelation__lag_9,4947290.215500001
16,tsfresh_base,455,"target_lagged_by_1__agg_autocorrelation__f_agg_""mean""__maxlag_40",425778.92883638473
17,tsfresh_base,455,target_lagged_by_1__autocorrelation__lag_6,354448.3156925846
18,tsfresh_base,455,"target_lagged_by_1__agg_autocorrelation__f_agg_""var""__maxlag_40",325767.7883911729
19,tsfresh_base,455,Promo__autocorrelation__lag_3,994031.9778922726
20,tsfresh_base,455,year,601941.9697333333
21,tsfresh_base,455,DayOfWeek_4__autocorrelation__lag_4,177289481.6875
22,tsfresh_base,455,StateHoliday_0,80520192.0
23,tsfresh_base,455,Promo__autocorrelation__lag_2,596324.772694414
24,tsfresh_base,455,"target_lagged_by_1__agg_autocorrelation__f_agg_""median""__maxlag_40",273534.9738126099
25,tsfresh_base,455,target_lagged_by_1__autocorrelation__lag_1,287998.9766776383
26,tsfresh_base,455,Open__autocorrelation__lag_5,220234.9684214804
27,tsfresh_base,455,SchoolHoliday,506165.28194090904
28,tsfresh_base,455,"Open__agg_autocorrelation__f_agg_""mean""__maxlag_40",770000.0685208918
29,tsfresh_base,455,Open__autocorrelation__lag_1,147323.03046506687
30,tsfresh_base,455,Open__autocorrelation__lag_3,166582.91968172533
31,tsfresh_base,455,"Promo__agg_autocorrelation__f_agg_""mean""__maxlag_40",354583.60158043186
32,tsfresh_base,455,"DayOfWeek_1__agg_autocorrelation__f_agg_""var""__maxlag_40",726555.9091954547
33,tsfresh_base,455,"StateHoliday_c__agg_autocorrelation__f_agg_""var""__maxlag_40",951110.3337636363
34,tsfresh_base,455,DayOfWeek_3__autocorrelation__lag_2,899665.427
35,tsfresh_base,455,Promo__median,799908.9248
36,tsfresh_base,455,Open__autocorrelation__lag_8,352387.16167059995
37,tsfresh_base,455,DayOfWeek_4,667574.5346
38,tsfresh_base,455,Open__autocorrelation__lag_6,247380.01005573678
39,tsfresh_base,455,Open__mean_change,7087243.311740001
40,tsfresh_base,455,"StateHoliday_b__agg_autocorrelation__f_agg_""var""__maxlag_40",35.8525734
41,tsfresh_base,455,"Promo__agg_autocorrelation__f_agg_""var""__maxlag_40",145200.57551317502
42,tsfresh_base,455,"Open__agg_autocorrelation__f_agg_""var""__maxlag_40",183370.4802155725
43,tsfresh_base,455,"DayOfWeek_4__agg_autocorrelation__f_agg_""var""__maxlag_40",167666.5785997656
44,tsfresh_base,455,"StateHoliday_0__agg_autocorrelation__f_agg_""mean""__maxlag_40",177369.10940329387
45,tsfresh_base,455,DayOfWeek_2__autocorrelation__lag_8,0.010803014
46,tsfresh_base,455,StateHoliday_c__autocorrelation__lag_8,1050005.4405999999
47,tsfresh_base,455,DayOfWeek_6__autocorrelation__lag_2,82037.57989613152
48,tsfresh_base,455,"DayOfWeek_7__agg_autocorrelation__f_agg_""median""__maxlag_40",277081.53516666667
49,tsfresh_base,455,"DayOfWeek_6__agg_autocorrelation__f_agg_""var""__maxlag_40",197047.00646033924
