,algorithm,seed,mse,rmse,r2_score
0,tpot_selection,455,150777.421875,388.30068487578023,0.9562815266213741
0,tpot_selection,23,153776.171875,392.14305026992383,0.955412030635312
0,tpot_selection,44,148829.515625,385.78428638942773,0.9568463339556957
0,tpot_selection,665,147384.25,383.9065641533106,0.9572653925701129
0,tpot_base,123,167985.71875,409.8606089269863,0.9512919212196733
0,tpot_base,234,175549.984375,418.9868546565632,0.9490986307095113
0,tpot_base,456,174130.453125,417.28941170966704,0.9495102352279176
0,tpot_base,34,165403.3125,406.69806060516197,0.9520407024528884
0,tpot_base,1334,167981.25,409.8551573422006,0.9512932184166673
0,tpot_base,978,174191.421875,417.3624586315832,0.9494925490693487
0,tpot_base,1919,175806.375,419.2927080214966,0.9490242902341494
0,tpot_base,98,166752.34375,408.3532095502618,0.9516495494153122
0,tpot_base,2647,168433.109375,410.4060298960043,0.9511621955989905
0,tpot_base,12,170217.234375,412.5739138324186,0.9506448888760654
0,tpot_base,9,175674.59375,419.1355314811666,0.9490625052192824
0,tpot_base,455,173060.640625,416.005577636887,0.9498204282254175
0,tpot_base,23,172858.171875,415.76215781982853,0.9498791369056052
0,tpot_base,44,173569.203125,416.61637404811637,0.9496729714173425
0,tpot_base,665,169026.28125,411.1280594291759,0.9509902066386388
0,tpot_base_selection,123,153102.390625,391.28300579631616,0.9556073938132768
0,tpot_base_selection,234,152428.203125,390.420546494418,0.9558028782786192
0,tpot_base_selection,456,153822.5,392.2021162615011,0.9553986033222002
0,tpot_base_selection,34,149697.484375,386.9075915189569,0.9565946640817808
0,tpot_base_selection,1334,155142.234375,393.880990116304,0.9550159339251023
0,tpot_base_selection,978,151992.09375,389.86163410882074,0.9559293276928177
0,tpot_base_selection,1919,157293.46875,396.6024063845301,0.9543921763276102
0,tpot_base_selection,98,155800.875,394.71619551267463,0.9548249613863715
0,tpot_base_selection,2647,152795.578125,390.89074960275025,0.9556963549674302
0,tpot_base_selection,12,155709.71875,394.60070799480326,0.9548513903728294
0,tpot_base_selection,9,168889.703125,410.9619241791142,0.9510298023300887
0,tpot_base_selection,455,149254.890625,386.3352050033753,0.956722993992251
0,tpot_base_selection,23,177222.46875,420.9779908142467,0.9486136924438248
0,tpot_base_selection,44,154149.9375,392.6193289943836,0.9553036550480308
0,tpot_base_selection,665,157030.9375,396.2712928033016,0.9544682983679154
0,tsfresh,123,166851.125,408.47414238847483,0.9516208992046359
0,tsfresh,234,158876.078125,398.5926217643774,0.9539332929376283
